time/fps,rollout/ep_len_mean,time/total_timesteps,time/time_elapsed,rollout/ep_rew_mean,time/iterations,train/std,train/value_loss,train/clip_fraction,train/clip_range,train/learning_rate,train/entropy_loss,train/n_updates,train/explained_variance,train/loss,train/policy_gradient_loss,train/approx_kl,eval/mean_ep_length,eval/mean_reward
17,1.0,104448,6093,7.93678208,51,0.4398340582847595,0.021730928352917546,0.8845703125,0.2,0.0003,-2.3230953641235828,500,0.05492037534713745,0.2938581705093384,0.12980567270424218,1.3501905,,
17,1.0,106496,6210,7.974070220000001,52,0.4368610382080078,0.023385814190260135,0.88994140625,0.2,0.0003,-2.2789282731711866,510,0.05632781982421875,0.046551648527383804,0.14411002603883388,1.8934005,,
17,1.0,108544,6327,7.9709080000000005,53,0.4328049123287201,0.017885278759058564,0.904638671875,0.2,0.0003,-2.2413017489016056,520,-0.020268917083740234,0.18468399345874786,0.17006411175243558,2.0598965,,
,,110000,,,,0.43228667974472046,0.020604939010809176,0.9173828125,0.2,0.0003,-2.2168054692447186,530,-0.01477968692779541,0.14319171011447906,0.2167017998173833,2.5235972,1.0,8.0268598
17,1.0,110592,6444,7.98882543,54,,,,,,,,,,,,,
17,1.0,112640,6560,7.975524250000001,55,0.4294458329677582,0.02114843530289363,0.90849609375,0.2,0.0003,-2.2101078264415266,540,-0.0023093223571777344,0.15350580215454102,0.20874538961797953,2.3104458,,
17,1.0,114688,6676,7.9568361,56,0.4296436309814453,0.022079850517911837,0.923779296875,0.2,0.0003,-2.1922604009509086,550,-0.04396319389343262,0.0742996335029602,0.3146367038541939,2.259416,,
17,1.0,116736,6791,7.98574412,57,0.42716550827026367,0.019730822171550245,0.899267578125,0.2,0.0003,-2.1974882282316686,560,-0.03311634063720703,0.053080711513757706,0.1636046524712583,1.782912,,
17,1.0,118784,6907,7.928677459999998,58,0.4282926619052887,0.018023470757179895,0.927783203125,0.2,0.0003,-2.181427478790283,570,0.008854448795318604,0.22758452594280243,0.25946415414800866,3.5586944,,
,,120000,,,,0.4297565817832947,0.024496425315737723,0.933642578125,0.2,0.0003,-2.215890894085169,580,-0.024089932441711426,0.2178504765033722,0.3422219852800481,3.4317436,1.0,7.9523082
17,1.0,120832,7024,7.902954369999999,59,,,,,,,,,,,,,
17,1.0,122880,7141,7.96085276,60,0.42659345269203186,0.03527278472902253,0.871630859375,0.2,0.0003,-2.212048688530922,590,0.024857521057128906,-0.014042548835277557,0.1023132987698773,3.795789,,
17,1.0,124928,7258,7.979896710000002,61,0.42504578828811646,0.023292442556703465,0.90263671875,0.2,0.0003,-2.1692855514585974,600,0.04850834608078003,0.2027994990348816,0.2056812159746187,1.9173323,,
17,1.0,126976,7374,7.95539144,62,0.4255717694759369,0.022150919400155546,0.8947265625,0.2,0.0003,-2.153891348838806,610,-0.009094476699829102,0.08546941727399826,0.15696695727237966,1.4580865,,
17,1.0,129024,7491,7.97493482,63,0.4236997961997986,0.020370529609499498,0.89150390625,0.2,0.0003,-2.1356222718954085,620,0.003445148468017578,0.07883480936288834,0.1650888850679621,1.8323245,,
,,130000,,,,0.4226885735988617,0.019737160121439955,0.9080078125,0.2,0.0003,-2.134103583544493,630,0.03167140483856201,0.12588024139404297,0.2172144423122518,1.7265253,1.0,8.1046268
17,1.0,131072,7609,7.958251280000001,64,,,,,,,,,,,,,
17,1.0,133120,7727,7.961006010000001,65,0.4209747314453125,0.02186489615414757,0.9107421875,0.2,0.0003,-2.1018326662480833,640,-0.019814610481262207,0.1016271635890007,0.20318006702582353,2.33982,,
17,1.0,135168,7846,7.962835300000002,66,0.42245620489120483,0.02337281950749457,0.91484375,0.2,0.0003,-2.114168497920036,650,-0.039278626441955566,0.09282184392213821,0.21544862888404168,2.2369668,,
17,1.0,137216,7964,7.992589040000001,67,0.4208654761314392,0.02243420550657902,0.8861328125,0.2,0.0003,-2.1110340535640715,660,0.015076220035552979,0.08990296721458435,0.13565091952623334,1.3375726,,
17,1.0,139264,8084,7.9853482200000006,68,0.42137861251831055,0.01979514666891191,0.916064453125,0.2,0.0003,-2.0914000682532787,670,0.03757721185684204,0.09532418102025986,0.20770411388075444,2.0359025,,
,,140000,,,,0.41980618238449097,0.022872980666579678,0.8884765625,0.2,0.0003,-2.0871015027165414,680,0.002218306064605713,0.08808381855487823,0.1065339198015863,1.3987646,1.0,8.037768
17,1.0,141312,8202,7.987631630000001,69,,,,,,,,,,,,,
17,1.0,143360,8320,7.932216199999999,70,0.42194223403930664,0.019431438550236636,0.918603515625,0.2,0.0003,-2.0760758072137833,690,-0.010387301445007324,0.16399486362934113,0.2413488753431011,2.3777714,,
17,1.0,145408,8440,7.969127649999998,71,0.42282095551490784,0.025482984402333386,0.9021484375,0.2,0.0003,-2.098337755352259,700,0.013240456581115723,0.10646448284387589,0.1746704323682934,1.9690671,,
