time/total_timesteps,rollout/ep_rew_mean,rollout/ep_len_mean,time/fps,time/time_elapsed,time/iterations,train/learning_rate,train/approx_kl,train/clip_fraction,train/value_loss,train/n_updates,train/loss,train/explained_variance,train/policy_gradient_loss,train/clip_range,train/std,train/entropy_loss,eval/mean_reward,eval/mean_ep_length
204800,4.528697149999999,1.0,17,11982,100,0.0003,3.0456214,0.916357421875,0.025979494192870333,990,0.017170703038573265,0.4236385226249695,0.22394167150487193,0.2,0.5328149199485779,-18.05704060792923,,
206848,4.5409000299999995,1.0,17,12101,101,0.0003,2.1971827,0.886328125,0.02417893995589111,1000,0.08552093803882599,0.4178093671798706,0.13828496059577447,0.2,0.5302125811576843,-17.961257791519166,,
208896,4.52554682,1.0,17,12220,102,0.0003,2.8172288,0.916259765625,0.02599660948908422,1010,0.1462557017803192,0.4197787046432495,0.1777605149196461,0.2,0.53011155128479,-17.872189074754715,,
210000,,,,,,0.0003,3.8797722,0.921923828125,0.02607866943872068,1020,0.1317693293094635,0.4326164126396179,0.22921789705287665,0.2,0.5291019678115845,-17.84098066687584,4.3603028,1.0
210944,4.56055862,1.0,17,12340,103,,,,,,,,,,,,,
212992,4.57980492,1.0,17,12459,104,0.0003,3.4754958,0.91328125,0.02713650107034482,1030,0.6405116319656372,0.3889181613922119,0.18276329816726503,0.2,0.5272670388221741,-17.78541664481163,,
215040,4.501261070000001,1.0,17,12579,105,0.0003,3.5588229,0.892578125,0.02730148715781979,1040,0.05411743372678757,0.4015699625015259,0.12745058614236768,0.2,0.5268905758857727,-17.718855255842207,,
217088,4.56635617,1.0,17,12699,106,0.0003,2.8372908,0.913916015625,0.02728891145961825,1050,0.10778889060020447,0.423900842666626,0.13442265944031534,0.2,0.5266779065132141,-17.678202325105666,,
219136,4.54989551,1.0,17,12818,107,0.0003,3.2633653,0.905712890625,0.027171866758726536,1060,0.047166384756565094,0.4067506194114685,0.15061676817422268,0.2,0.5257835388183594,-17.60478112101555,,
220000,,,,,,0.0003,3.0844407,0.9103515625,0.025584563260781578,1070,0.10881076753139496,0.41261547803878784,0.1695411857450381,0.2,0.5250025391578674,-17.53848232626915,4.389177200000001,1.0
221184,4.567991130000001,1.0,17,12938,108,,,,,,,,,,,,,
223232,4.539773800000001,1.0,17,13058,109,0.0003,3.2257957,0.92421875,0.026939555775607006,1080,0.3899382948875427,0.38726019859313965,0.1907496344181709,0.2,0.5239732265472412,-17.478240925073624,,
225280,4.543767540000001,1.0,17,13177,110,0.0003,3.6881123,0.918310546875,0.027726913525839336,1090,0.130665585398674,0.4259786605834961,0.18602285812958144,0.2,0.5227899551391602,-17.399818086624144,,
227328,4.57065532,1.0,17,13297,111,0.0003,3.153717,0.92734375,0.024753285868791865,1100,0.18026645481586456,0.42921388149261475,0.25907804843736815,0.2,0.5208088159561157,-17.34464039206505,,
229376,4.58483818,1.0,17,13416,112,0.0003,4.404804,0.937646484375,0.026638859094236977,1110,0.151907280087471,0.40315955877304077,0.23998538723099044,0.2,0.5209328532218933,-17.27800379395485,,
230000,,,,,,0.0003,3.1630855,0.920849609375,0.02537922015762888,1120,0.1487717181444168,0.40225160121917725,0.1553157417627517,0.2,0.5199305415153503,-17.251671373844147,4.6407884,1.0
231424,4.49947479,1.0,17,13537,113,,,,,,,,,,,,,
233472,4.52533176,1.0,17,13656,114,0.0003,2.6800628,0.906201171875,0.025111748863128013,1130,0.14697252213954926,0.4381785988807678,0.16102056069939863,0.2,0.5198630690574646,-17.20659419298172,,
235520,4.58120461,1.0,17,13775,115,0.0003,3.301076,0.913037109375,0.026889359491178766,1140,0.026851138100028038,0.42749494314193726,0.17571284497826128,0.2,0.5173532366752625,-17.13509890437126,,
237568,4.59583244,1.0,17,13895,116,0.0003,3.371867,0.917041015625,0.02614246220327914,1150,0.09551425278186798,0.40892648696899414,0.15088006237347146,0.2,0.5173536539077759,-17.08687338232994,,
