[po4ncpa] device=cuda image=33x33 modes=55 coronagraph=False
[po4ncpa] ideal-image residual ref: max=1.000e+00 sum=1.107e+01
ep 18500 | dynL 0.309 polR -1.840e+01 | train C 1.45e-03 S 0.008 | EVAL C 1.467e-03 S 0.0072 | buf 200000 | 30349s
ep 18750 | dynL 0.306 polR -1.871e+01 | train C 1.32e-03 S 0.009 | EVAL C 1.419e-03 S 0.0067 | buf 200000 | 30762s
ep 19000 | dynL 0.305 polR -1.880e+01 | train C 1.58e-03 S 0.008 | EVAL C 1.580e-03 S 0.0086 | buf 200000 | 31185s
ep 19250 | dynL 0.305 polR -1.810e+01 | train C 1.11e-03 S 0.009 | EVAL C 1.137e-03 S 0.0095 | buf 200000 | 31614s
ep 19500 | dynL 0.304 polR -2.003e+01 | train C 1.54e-03 S 0.011 | EVAL C 1.305e-03 S 0.0092 | buf 200000 | 32052s
ep 19750 | dynL 0.304 polR -1.828e+01 | train C 1.29e-03 S 0.008 | EVAL C 1.217e-03 S 0.0061 | buf 200000 | 32497s
ep 20000 | dynL 0.303 polR -2.029e+01 | train C 1.08e-03 S 0.007 | EVAL C 9.640e-04 S 0.0054 | buf 200000 | 32912s
ep 20250 | dynL 0.302 polR -1.927e+01 | train C 1.08e-03 S 0.010 | EVAL C 9.889e-04 S 0.0055 | buf 200000 | 33331s
ep 20500 | dynL 0.302 polR -1.869e+01 | train C 1.34e-03 S 0.008 | EVAL C 1.157e-03 S 0.0077 | buf 200000 | 33745s
ep 20750 | dynL 0.300 polR -1.696e+01 | train C 1.23e-03 S 0.010 | EVAL C 1.302e-03 S 0.0082 | buf 200000 | 34154s
ep 21000 | dynL 0.298 polR -1.754e+01 | train C 1.20e-03 S 0.007 | EVAL C 1.281e-03 S 0.0107 | buf 200000 | 34591s
ep 21250 | dynL 0.300 polR -2.061e+01 | train C 1.35e-03 S 0.015 | EVAL C 1.331e-03 S 0.0101 | buf 200000 | 35012s
ep 21500 | dynL 0.299 polR -1.834e+01 | train C 1.19e-03 S 0.007 | EVAL C 1.289e-03 S 0.0094 | buf 200000 | 35444s
