name, memory.total [MiB]
Tesla V100-PCIE-32GB, 32768 MiB
[infogain] correction scale min 2.84e-09 max 4.62e-08 | probe scale (x0.1) min 2.84e-10 max 4.62e-09 | modes=55 action=110
[infogain] RESUMED from logs/po4ncpa_dynamic_scratch_t10/po4ncpa_infogain_best.pt
[infogain] reloaded replay buffer (200000 transitions) from logs/po4ncpa_dynamic_scratch_t10/replay_buffer.npz -> refill gate skipped, updates start immediately
[infogain] device=cuda image=33x33 modes=55 action=110 workers=14 max_steps=8 lambda_info=0.0 reward=log lr_final_frac=0.5 explore_std_final=0.01
ep 32760 | dynL 0.551 polR 2.656e-01 info 2.014e-02 | train C 5.20e-05 S 0.991 | EVAL C 5.001e-05 S 0.9928 | buf 200000 | 31930s
ep 33012 | dynL 0.549 polR 2.896e-01 info 2.018e-02 | train C 5.61e-05 S 0.994 | EVAL C 4.969e-05 S 0.9929 | buf 200000 | 32179s
ep 33264 | dynL 0.555 polR 2.177e-01 info 2.646e-02 | train C 6.14e-05 S 0.992 | EVAL C 4.934e-05 S 0.9927 | buf 200000 | 32427s
ep 33516 | dynL 0.553 polR 2.728e-01 info 1.119e-02 | train C 2.91e-05 S 0.993 | EVAL C 5.002e-05 S 0.9932 | buf 200000 | 32677s
ep 33768 | dynL 0.552 polR 2.683e-01 info 1.401e-02 | train C 1.47e-04 S 0.981 | EVAL C 4.860e-05 S 0.9926 | buf 200000 | 32918s
ep 34020 | dynL 0.550 polR 2.097e-01 info 3.481e-02 | train C 2.27e-05 S 0.997 | EVAL C 4.908e-05 S 0.9925 | buf 200000 | 33160s
ep 34272 | dynL 0.551 polR 2.127e-01 info 2.983e-02 | train C 7.33e-05 S 0.986 | EVAL C 5.197e-05 S 0.9918 | buf 200000 | 33405s
ep 34524 | dynL 0.551 polR 2.562e-01 info 2.853e-02 | train C 3.15e-05 S 0.992 | EVAL C 5.356e-05 S 0.9916 | buf 200000 | 33645s
ep 34776 | dynL 0.550 polR 2.706e-01 info 1.794e-02 | train C 9.26e-05 S 0.985 | EVAL C 5.550e-05 S 0.9912 | buf 200000 | 33888s
ep 35028 | dynL 0.550 polR 3.040e-01 info 1.444e-02 | train C 5.26e-05 S 0.990 | EVAL C 5.579e-05 S 0.9917 | buf 200000 | 34141s
ep 35280 | dynL 0.552 polR 2.149e-01 info 2.872e-02 | train C 4.99e-05 S 0.993 | EVAL C 5.341e-05 S 0.9916 | buf 200000 | 34386s
ep 35532 | dynL 0.551 polR 2.698e-01 info 1.760e-02 | train C 5.68e-05 S 0.990 | EVAL C 5.121e-05 S 0.9917 | buf 200000 | 34634s
ep 35784 | dynL 0.553 polR 2.813e-01 info 1.719e-02 | train C 1.69e-05 S 0.996 | EVAL C 5.250e-05 S 0.9920 | buf 200000 | 34877s
ep 36036 | dynL 0.552 polR 2.143e-01 info 2.287e-02 | train C 6.65e-05 S 0.990 | EVAL C 5.168e-05 S 0.9912 | buf 200000 | 35125s
ep 36288 | dynL 0.550 polR 2.474e-01 info 2.171e-02 | train C 2.57e-05 S 0.993 | EVAL C 5.378e-05 S 0.9918 | buf 200000 | 35370s
ep 36540 | dynL 0.551 polR 3.092e-01 info 1.279e-02 | train C 5.42e-05 S 0.990 | EVAL C 5.485e-05 S 0.9923 | buf 200000 | 35614s
ep 36792 | dynL 0.551 polR 2.566e-01 info 2.099e-02 | train C 8.08e-05 S 0.992 | EVAL C 5.274e-05 S 0.9924 | buf 200000 | 35858s
ep 37044 | dynL 0.554 polR 2.572e-01 info 1.941e-02 | train C 4.65e-05 S 0.995 | EVAL C 5.434e-05 S 0.9929 | buf 200000 | 36101s
ep 37296 | dynL 0.552 polR 3.031e-01 info 1.431e-02 | train C 2.32e-05 S 0.997 | EVAL C 4.709e-05 S 0.9929 | buf 200000 | 36343s
