[po4ncpa] per-mode action scale: min 2.52e-09 max 4.65e-08 (headroom 5.0, 55 modes)
[po4ncpa] device=cuda image=33x33 modes=55 coronagraph=True
[po4ncpa] ideal-image residual ref: max=6.395e-10 sum=1.659e-07
ep 22500 | dynL 0.194 polR 7.089e-01 | train C 1.69e-04 S 0.967 | EVAL C 1.864e-05 S 0.9974 | buf 200000 | 53304s
ep 22750 | dynL 0.192 polR 7.137e-01 | train C 5.70e-05 S 0.993 | EVAL C 1.897e-05 S 0.9976 | buf 200000 | 53912s
ep 23000 | dynL 0.190 polR 6.320e-01 | train C 6.66e-05 S 0.991 | EVAL C 1.573e-05 S 0.9975 | buf 200000 | 54509s
ep 23250 | dynL 0.193 polR 7.374e-01 | train C 6.26e-05 S 0.986 | EVAL C 1.767e-05 S 0.9974 | buf 200000 | 55119s
ep 23500 | dynL 0.190 polR 6.510e-01 | train C 3.22e-05 S 0.993 | EVAL C 1.890e-05 S 0.9978 | buf 200000 | 55746s
ep 23750 | dynL 0.190 polR 6.940e-01 | train C 5.14e-05 S 0.993 | EVAL C 1.450e-05 S 0.9977 | buf 200000 | 56365s
ep 24000 | dynL 0.190 polR 6.209e-01 | train C 8.05e-05 S 0.982 | EVAL C 1.579e-05 S 0.9975 | buf 200000 | 56978s
ep 24250 | dynL 0.189 polR 6.514e-01 | train C 6.00e-05 S 0.986 | EVAL C 1.500e-05 S 0.9975 | buf 200000 | 57584s
ep 24500 | dynL 0.188 polR 6.915e-01 | train C 4.89e-05 S 0.992 | EVAL C 1.667e-05 S 0.9977 | buf 200000 | 58184s
ep 24750 | dynL 0.189 polR 5.822e-01 | train C 7.41e-05 S 0.989 | EVAL C 1.658e-05 S 0.9977 | buf 200000 | 58780s
ep 25000 | dynL 0.187 polR 6.709e-01 | train C 6.20e-05 S 0.993 | EVAL C 1.790e-05 S 0.9974 | buf 200000 | 59393s
ep 25250 | dynL 0.187 polR 6.884e-01 | train C 8.07e-05 S 0.990 | EVAL C 1.660e-05 S 0.9974 | buf 200000 | 60006s
