[po4ncpa] per-mode action scale: min 2.52e-09 max 4.65e-08 (headroom 5.0, 55 modes)
[po4ncpa] device=cuda image=33x33 modes=55 coronagraph=False
[po4ncpa] ideal-image residual ref: max=1.000e+00 sum=1.107e+01
ep 18000 | dynL 0.240 polR -4.617e-01 | train C 2.94e-03 S 0.994 | EVAL C 2.904e-03 S 0.9985 | buf 200000 | 28490s
ep 18250 | dynL 0.237 polR -5.095e-01 | train C 2.97e-03 S 0.993 | EVAL C 2.905e-03 S 0.9985 | buf 200000 | 28908s
ep 18500 | dynL 0.238 polR -4.826e-01 | train C 2.94e-03 S 0.994 | EVAL C 2.904e-03 S 0.9987 | buf 200000 | 29314s
ep 18750 | dynL 0.238 polR -5.172e-01 | train C 2.99e-03 S 0.971 | EVAL C 2.903e-03 S 0.9986 | buf 200000 | 29716s
ep 19000 | dynL 0.235 polR -4.198e-01 | train C 2.98e-03 S 0.992 | EVAL C 2.904e-03 S 0.9988 | buf 200000 | 30105s
ep 19250 | dynL 0.237 polR -4.901e-01 | train C 2.95e-03 S 0.994 | EVAL C 2.904e-03 S 0.9988 | buf 200000 | 30507s
ep 19500 | dynL 0.234 polR -4.703e-01 | train C 3.03e-03 S 0.986 | EVAL C 2.905e-03 S 0.9986 | buf 200000 | 30906s
ep 19750 | dynL 0.233 polR -4.479e-01 | train C 3.00e-03 S 0.992 | EVAL C 2.906e-03 S 0.9988 | buf 200000 | 31324s
ep 20000 | dynL 0.231 polR -4.968e-01 | train C 2.96e-03 S 0.993 | EVAL C 2.906e-03 S 0.9988 | buf 200000 | 31719s
ep 20250 | dynL 0.230 polR -4.933e-01 | train C 2.99e-03 S 0.989 | EVAL C 2.904e-03 S 0.9988 | buf 200000 | 32130s
ep 20500 | dynL 0.230 polR -5.313e-01 | train C 2.98e-03 S 0.987 | EVAL C 2.905e-03 S 0.9988 | buf 200000 | 32541s
ep 20750 | dynL 0.231 polR -4.703e-01 | train C 3.01e-03 S 0.970 | EVAL C 2.904e-03 S 0.9988 | buf 200000 | 32937s
ep 21000 | dynL 0.229 polR -5.107e-01 | train C 2.96e-03 S 0.993 | EVAL C 2.906e-03 S 0.9987 | buf 200000 | 33333s
ep 21250 | dynL 0.227 polR -4.181e-01 | train C 2.98e-03 S 0.989 | EVAL C 2.904e-03 S 0.9989 | buf 200000 | 33740s
ep 21500 | dynL 0.230 polR -4.698e-01 | train C 3.04e-03 S 0.982 | EVAL C 2.904e-03 S 0.9988 | buf 200000 | 34151s
ep 21750 | dynL 0.228 polR -4.135e-01 | train C 2.99e-03 S 0.988 | EVAL C 2.908e-03 S 0.9986 | buf 200000 | 34543s
ep 22000 | dynL 0.226 polR -4.235e-01 | train C 3.01e-03 S 0.991 | EVAL C 2.904e-03 S 0.9987 | buf 200000 | 34949s
ep 22250 | dynL 0.229 polR -5.019e-01 | train C 3.03e-03 S 0.989 | EVAL C 2.904e-03 S 0.9986 | buf 200000 | 35359s
ep 22500 | dynL 0.225 polR -4.523e-01 | train C 3.00e-03 S 0.978 | EVAL C 2.905e-03 S 0.9988 | buf 200000 | 35764s
ep 22750 | dynL 0.226 polR -3.977e-01 | train C 2.97e-03 S 0.993 | EVAL C 2.905e-03 S 0.9987 | buf 200000 | 36163s
ep 23000 | dynL 0.227 polR -4.683e-01 | train C 3.06e-03 S 0.984 | EVAL C 2.905e-03 S 0.9988 | buf 200000 | 36570s
ep 23250 | dynL 0.227 polR -3.976e-01 | train C 2.94e-03 S 0.995 | EVAL C 2.904e-03 S 0.9987 | buf 200000 | 36983s
ep 23500 | dynL 0.220 polR -4.899e-01 | train C 2.96e-03 S 0.992 | EVAL C 2.904e-03 S 0.9987 | buf 200000 | 37372s
ep 23750 | dynL 0.224 polR -4.290e-01 | train C 2.97e-03 S 0.993 | EVAL C 2.904e-03 S 0.9989 | buf 200000 | 37764s
