name, memory.total [MiB]
NVIDIA A100-PCIE-40GB, 40960 MiB
=== PO4NCPA LOG-REWARD FROM SCRATCH (static): episodes=120000 ===
[infogain] correction scale min 2.52e-09 max 4.65e-08 | probe scale (x0.1) min 2.52e-10 max 4.65e-09 | modes=55 action=110
[infogain] device=cuda image=33x33 modes=55 action=110 workers=14 max_steps=8 lambda_info=0.0 reward=log lr_final_frac=0.3 explore_std_final=0.02
ep 20916 | dynL 0.371 polR 4.493e-01 info 9.739e-02 | train C 2.67e-05 S 0.995 | EVAL C 8.375e-06 S 0.9984 | buf 167328 | 10468s
ep 21168 | dynL 0.366 polR 3.236e-01 info 1.942e-01 | train C 5.15e-05 S 0.990 | EVAL C 8.148e-06 S 0.9985 | buf 169344 | 10606s
ep 21420 | dynL 0.370 polR 4.461e-01 info 9.337e-02 | train C 7.89e-05 S 0.993 | EVAL C 7.858e-06 S 0.9985 | buf 171360 | 10741s
ep 21672 | dynL 0.367 polR 4.358e-01 info 8.140e-02 | train C 2.74e-05 S 0.994 | EVAL C 7.463e-06 S 0.9985 | buf 173376 | 10880s
ep 21924 | dynL 0.367 polR 4.136e-01 info 1.153e-01 | train C 3.50e-05 S 0.994 | EVAL C 7.009e-06 S 0.9986 | buf 175392 | 11016s
ep 22176 | dynL 0.366 polR 4.311e-01 info 1.248e-01 | train C 3.46e-05 S 0.993 | EVAL C 7.208e-06 S 0.9985 | buf 177408 | 11152s
ep 22428 | dynL 0.369 polR 4.276e-01 info 1.124e-01 | train C 2.73e-05 S 0.996 | EVAL C 7.490e-06 S 0.9986 | buf 179424 | 11289s
ep 22680 | dynL 0.365 polR 5.117e-01 info 7.470e-02 | train C 4.03e-05 S 0.996 | EVAL C 6.636e-06 S 0.9986 | buf 181440 | 11426s
ep 22932 | dynL 0.364 polR 4.803e-01 info 1.111e-01 | train C 5.36e-05 S 0.991 | EVAL C 5.924e-06 S 0.9985 | buf 183456 | 11564s
ep 23184 | dynL 0.367 polR 4.727e-01 info 8.953e-02 | train C 4.40e-05 S 0.993 | EVAL C 5.907e-06 S 0.9987 | buf 185472 | 11701s
ep 23436 | dynL 0.367 polR 4.086e-01 info 1.735e-01 | train C 3.53e-05 S 0.995 | EVAL C 6.069e-06 S 0.9986 | buf 187488 | 11837s
ep 23688 | dynL 0.363 polR 5.555e-01 info 7.032e-02 | train C 8.03e-05 S 0.989 | EVAL C 5.573e-06 S 0.9987 | buf 189504 | 11973s
ep 23940 | dynL 0.363 polR 4.583e-01 info 1.320e-01 | train C 8.45e-05 S 0.986 | EVAL C 5.842e-06 S 0.9987 | buf 191520 | 12110s
